"feature_id","canonical_name","aliases","feature_family","plain_language_meaning","formula_or_algorithm","units","data_type","valid_domain","frequency","timestamp_convention","observation_key","raw_source_fields","preprocessing","window_and_warmup","lag_and_availability","missing_and_zero_behavior","normalization","sign_interpretation","producing_paths","hypothesis_ids","test_ids","leakage_or_survivorship_risk","verification_status"
"F-source-completion-state","Completed source integrity state","completed_dataset_gate|verify_completed_source","research_integrity","Whether a dataset is completed and bound to its manifest; tape hash; seek index; coverage; and full replay.","Boolean gate requiring completed catalogue state plus matching run IDs; row counts; hashes; index binding; and coverage checks.","boolean","boolean","true only after every declared check passes","dataset","Catalogue and manifest timestamps; not an event-time feature.","dataset_id","catalogue lifecycle; manifest; coverage; tape/index hashes","No market-value transformation.","No rolling window.","Available only after capture completion and verification.","Any missing or inconsistent component fails closed.","none","true is integrity eligibility; not market direction.","research/src/shaurya/research/source.py|research/src/shaurya/analytics/post_close_alpha_research.py","H-research-integrity-001|H-infrastructure-001","T-research-adversarial-acceptance|T-research-v3-source-bound-e2e|T-post-close-alpha-research","Treating active; cancelled; or endpoint-only checked tapes as complete would create selection and corruption risk.","Verified from code"
"F-feature-availability-time","Feature availability time","available_ts_ns","research_integrity","The earliest time a derived feature is permitted to be consumed.","Contract rule: available_ts_ns must be less than or equal to the anchor timestamp; targets remain separate objects.","nanoseconds since Unix epoch","integer","positive timestamp within the declared session/epoch","per feature observation","Receive-time nanoseconds; timezone is UTC at storage and IST for session labels.","instrument|anchor_ts_ns|feature_id","receive timestamp; feature construction completion","Reject future availability and cross-epoch joins.","Feature-specific.","available_ts_ns <= anchor_ts_ns.","Unavailable features are absent rather than forward-filled unless a producer explicitly defines past-only as-of use.","none","No market sign.","research/src/shaurya/research/contracts.py|research/src/shaurya/research/features.py","H-research-integrity-001|H-infrastructure-001","T-research-contracts-and-planner|T-research-adversarial-acceptance","Incorrect availability labels create look-ahead even when formulas are causal.","Verified from code"
"F-publication-cadence-gap-ms","Publication cadence gap","gap_ms|modal_gap_bin_ms","data_quality","Elapsed receive time between distinct publication bursts.","Sort distinct receive timestamps; gap_i=(t_i-t_{i-1})/1e6; report quantiles and fixed-width modal bin.","milliseconds","float","greater than or equal to zero","publication transition","Local receive timestamp; UTC instant.","channel|connection_epoch|receive_timestamp","event_type; receive_ts_ns","Group exact receive timestamps into one burst; exclude no values in the unit calculator.","Requires two distinct receive timestamps.","Known after the later publication.","No gap when fewer than two bursts; summary quantiles are null.","none","Large values indicate sparse or interrupted publication; not economic direction.","research/src/shaurya/analytics/cadence_analysis.py","H-data-quality-001","T-cadence-analysis","Mixing epochs or channels can turn reconnects into cadence estimates.","Verified from code"
"F-receive-age-ms","Cross-channel receive-age proxy","comparand_age_ms|post_proxy_age_ms","data_quality","How old the selected as-of comparison quote is relative to an anchor.","age_ms=(anchor_receive_ts_ns-comparand_receive_ts_ns)/1e6 using last eligible same-tier state at or before anchor.","milliseconds","float","greater than or equal to zero when valid","anchor/channel pair","Local receive timestamp; UTC instant.","instrument|connection_epoch|anchor|depth_tier","anchor receive_ts_ns; comparand receive_ts_ns; channel; epoch","Same-depth-tier; same-epoch as-of selection; staleness status retained.","No rolling warm-up beyond a prior comparable state.","Available at anchor from past/current publications only.","Missing when no eligible state; stale observations remain labelled degraded and excluded from directional denominators.","none","Lower is fresher; no return sign.","research/src/shaurya/analytics/alignment_analysis.py|research/src/shaurya/analytics/depth_thinning_analysis.py","H-data-quality-001","T-alignment-analysis|T-depth-thinning-analysis","Using first post-anchor quote as if known at the anchor would leak future publication timing.","Verified from code"
"F-depth-channel-agreement","Depth-channel state agreement","all_levels_price_equal|containment_rate|unseen_state_rate","data_quality","Whether a shallow feed state matches or is contained in a deeper feed state under strict and phase-tolerant alignment.","Compare price; quantity; and order tuples for declared levels at last-at-or-before and optional bounded nearby times; unseen skip windows match neither open nor close state.","rate or boolean","float","0 to 1 for rates","aligned state pair or skip window","Receive-time nanoseconds; same epoch.","channel pair|instrument|anchor","ranked price; quantity; order count; channel; receive_ts_ns; epoch","Build canonical BookState; enforce staleness; preserve padding/partial states.","Requires comparable states; skip-window tests require open/close and optional witnesses.","Only past-as-of arm is causal; phase-tolerant arm is diagnostic.","No eligible comparisons yield null rates; stale comparands are counted separately.","counts divided by eligible comparisons","One means agreement; unseen-state one means all classified windows were unseen.","research/src/shaurya/analytics/depth_thinning_analysis.py","H-data-quality-001|H-data-quality-002","T-depth-thinning-analysis","Phase-tolerant post-anchor matching is not a tradable feature and must remain diagnostic.","Verified from code"
"F-depth-occupancy-contiguity","Depth occupancy and contiguity","populated_levels|contiguity_ratio_populated_over_tick_span|missing_ticks_within_span","data_quality","How densely the displayed ladder occupies the tick grid and how far its deepest quote is from the best/mid.","Count positive-price levels; convert price span to 0.05-rupee tick slots; contiguity=populated/tick-span; report missing slots and rupee distances.","count; ratio; rupees","float","counts nonnegative; ratio 0 to 1","book state and side","Receive-time state timestamp.","channel|instrument|timestamp|side","ranked prices; quantities; side; tick size","Ignore zero-price padding as occupied depth; validate sorted book states.","As-of state; no warm-up.","Available at publication receipt.","Empty sides produce missing summaries; padding is counted separately.","none","Higher contiguity means denser displayed depth.","research/src/shaurya/analytics/depth_thinning_analysis.py","H-data-quality-002","T-depth-thinning-analysis|T-deepbook-normal-activity","Provider truncation and padding can masquerade as sparse economics.","Verified from code"
"F-depth-distance-activity","Deep-book activity by distance","events_per_price_point|cumulative_event_share_within_distance","data_quality","Where displayed ladder changes occur relative to the same-side best quote.","Price-key consecutive changes are binned by rupee distance; counts are divided by exposed price points and cumulative shares are reported.","events per exposed price point; share","float","nonnegative; shares 0 to 1","state transition|side|distance band","Receive-time; pre-transition same-side reference.","price; quantity; orders; side best","price-keyed states; same-side best; quantity; order count","Exclude invalid transitions and boundary-slide artifacts.","Requires consecutive valid states; no fixed rolling warm-up.","Available after current state receipt.","Zero-exposure bands remain explicit; correlations may be null.","exposure normalization by price points","Higher means more ordinary activity at that distance.","research/src/shaurya/analytics/depth_thinning_analysis.py|research/src/shaurya/signals/deep_book_normal_activity.py","H-data-quality-002","T-depth-thinning-analysis|T-deepbook-normal-activity","Changing reference best can fabricate distance motion unless the pre-state rule is retained.","Verified from code"
"F-displayed-mid","Displayed best-bid/ask midpoint","displayed_mid|mid","reference_price","Central price between displayed best bid and ask.","mid=(best_bid+best_ask)/2 for non-crossed positive BBO.","rupees","float","positive; best_bid < best_ask","instrument|receive timestamp","Receive-time; UTC instant with IST session grouping.","best bid price; best ask price","best bid price; best ask price","Reject empty or crossed BBO.","As-of state; no warm-up.","Available on receipt.","Missing for partial/crossed books; no fallback.","none","Price level; returns inherit usual sign.","research/src/shaurya/signals/reference_prices.py|research/src/shaurya/analytics/post_close_alpha_research.py","H-reference-price-001","T-reference-prices|T-post-close-alpha-research","Displayed mid is not necessarily executable or the true touch when undisplayed liquidity exists.","Verified from code"
"F-simple-microprice","Displayed L1 microprice","microprice|simple_microprice","reference_price","BBO midpoint tilted by opposite-side displayed queue sizes.","microprice=(ask_qty*bid + bid_qty*ask)/(bid_qty+ask_qty).","rupees","float","between bid and ask for valid positive total depth","instrument|receive timestamp","Receive-time; UTC instant.","L1 bid/ask prices and quantities","L1 bid/ask prices and quantities","Require bid < ask; finite positive total depth.","As-of state; no warm-up.","Available on receipt.","Returns missing for invalid spread; nonfinite or nonpositive denominator.","depth-weighted price","Higher relative to mid indicates larger bid queue / upward tilt.","research/src/shaurya/signals/microprice.py|research/src/shaurya/signals/reference_prices.py","H-reference-price-001|H-order-flow-002|H-feature-selection-002","T-microprice|T-reference-prices|T-post-close-alpha-research","Displayed queue size is aggregate and does not encode queue position.","Verified from code"
"F-microprice-tilt-ticks","Microprice tilt from displayed mid","microprice_tilt_ticks","reference_price","Microprice displacement from displayed mid in NIFTY futures ticks.","(microprice-(bid+ask)/2)/0.05.","ticks","float","bounded by half the displayed spread in ticks","instrument|receive timestamp","Receive-time; UTC instant.","L1 bid/ask prices and quantities","L1 bid/ask prices and quantities; futures tick size","Use F-simple-microprice validation.","As-of state.","Available on receipt.","Missing whenever simple microprice is missing.","divide rupee displacement by 0.05","Positive tilts upward; negative downward.","research/src/shaurya/signals/microprice.py","H-reference-price-001","T-microprice","Hard-coded tick size is instrument-specific.","Verified from code"
"F-queue-imbalance","Displayed queue imbalance","queue_imbalance|depth_imbalance","reference_price","Relative excess of bid over ask displayed depth.","(bid_quantity-ask_quantity)/(bid_quantity+ask_quantity); post-close variant sums first five levels.","ratio","float","-1 to 1","instrument|receive timestamp|declared depth","Receive-time.","bid and ask quantities","declared-depth bid quantities; ask quantities","Require finite positive total quantity.","As-of state.","Available on receipt.","Missing for zero/nonfinite total depth.","divide by total two-sided depth","Positive means more displayed bid depth.","research/src/shaurya/signals/microprice.py|research/src/shaurya/analytics/post_close_alpha_research.py","H-reference-price-001|H-feature-selection-002","T-microprice|T-post-close-alpha-research","Depth aggregation level changes the estimand and must be recorded.","Verified from code"
"F-effective-touch-mid","Print-derived effective-touch midpoint","effective_touch_mid","reference_price","Midpoint of causal bid/ask bounds revealed by classified executed prints.","Maintain rolling causal effective_bid and effective_ask bounds from qualified print locations; mid=(bound_bid+bound_ask)/2 when both defined.","rupees","float","positive when both bounds are defined","instrument|anchor timestamp","Receive-time; as-of qualified prints.","classified trade price; side; receive time; displayed BBO","qualified cumulative-volume increments; print price/side; BBO; classifier/alignment versions","Exclude coalesced/degraded/unclassified prints; enforce classifier/alignment versions.","Configured rolling print window; warm-up until both bounds exist.","Available at anchor only from past/current qualified prints.","Undefined anchors are absent; no displayed-mid fallback.","none","Proxy price level; not a directional signal by itself.","research/src/shaurya/signals/effective_touch.py|research/src/shaurya/signals/reference_prices.py","H-reference-price-001|H-options-surface-002","T-effective-touch|T-reference-prices|T-d38-acceptance","It is a stale proxy and cannot reveal undisplayed liquidity or true order identities.","Verified from code"
"F-touch-relative-queue-imbalance","Effective-touch-relative queue imbalance","touch_relative_queue_imbalance","reference_price","Imbalance of displayed depth immediately outside print-derived effective bounds.","Sum depth within declared outward tick band on each side; return (bid_band_depth-ask_band_depth)/(sum).","ratio","float","-1 to 1","instrument|anchor timestamp","Receive-time; effective touch as-of anchor.","displayed book; effective bid/ask; tick size","displayed book prices/quantities; effective bid/ask; tick size","Exclude displayed depth inside effective bounds; aggregate fixed distance bands.","Effective-touch warm-up plus as-of book.","Available when both touch and book are available.","Missing for undefined touch or zero band depth.","divide by total adjacent band depth","Positive means more displayed depth outside effective bid than effective ask.","research/src/shaurya/signals/reference_prices.py","H-reference-price-001","T-reference-prices|T-d38-acceptance","Proxy-bound errors move band membership; never relabel as observed touch depth.","Verified from code"
