track,status,reusable_component,why
short-horizon futures volatility,retain-risk,"trailing 30s realised volatility","Positive 5/10/30s forward-vol rank correlation on Aug 26/27/28 with every block CI above zero"
futures volume intensity,retain-risk,"trailing 10s cumulative volume","Adds 0.182pp and 1.161pp MAE skill beyond vol/spread/clock on Aug 27/28"
option-surface movement magnitude,retain-option-risk,"causal option/surface state block","Adds 12.61pp and 6.40pp five-minute ATM-straddle magnitude skill with a 5s embargo"
ATM call-minus-put lead,execution-only,"30s call-minus-put movement","Same directional sign across four sessions but too weak and costly for standalone trading"
futures L1 imbalance,execution-only,"best-level quantity imbalance","Stable 1-5s midpoint association; economic move is far below the spread"
historical RV histogram,retain-benchmark,"index-only realised-volatility forecast","30-35% RV skill in 2026; option fields do not add"
JEPA latent dynamics,state-only,"latent velocity as contemporaneous stress","Headline rho collapses when target begins 5-10s later"
JEPA hard regimes,reject,none,"One state dominates about 99.8%; regime assignment is not useful"
surface IV mean reversion,reject,none,"Large same-grid correlation collapses after 5-10s target embargo"
surface term-IV mean reversion,reject,none,"Large same-grid correlation collapses after 5-10s target embargo"
surface curvature,reject,none,"No stable increment beyond IV lags and base state"
OpenEvolve,reject,none,"Validation p=0.438 at 1bp and negative at costs of 2bp or more"
formula mining,reject,none,"No Holm-corrected validation survivor"
sparse phase,reject,none,"Selected cash; final emitted zero trades"
regime/jump rules,reject,none,"No Holm-corrected validation survivor"
intraday directional tournament,reject,none,"All 22 strategies negative after costs in both 2025 and 2026"
paper alpha scan,reject,none,"Quarter-hour and low-vol rules lose after costs; reversal and curvature unstable"
historical option directional alpha,reject,none,"No stable candidate across 1270 sessions at 6bp"
real-tape alpha mining,reject,none,"No cost-aware Holm validation pass among 480 variants"
rolling gap validation,reject,none,"No stable pass"
far put-call parity taker,reject,none,"Positive midpoint result becomes negative at recorded bid/ask"
far put-call parity maker,reject,none,"33 fills lose 9.896bps pooled; zero of 18 configurations passes both sessions"
delta-hedged volatility carry,reject,"retain only underlying RV forecast","All January configurations and unchanged February rule lose"
NIFTY/BANKNIFTY relative value,reject,none,"No candidate profitable even before reserve"
opening-gap and short-straddle folklore,reject,none,"Hindsight/traded-close proxies lack executable exits and recent stability"
