"hypothesis_id","family_id","title","research_question","null_hypothesis","alternative_hypothesis","expected_direction","feature_ids","test_ids","implementation_status","evidence_status","input_data","output_locations","source_paths","unresolved_questions","statement_basis"
"H-research-integrity-001","HF-research-integrity","Completed-source and causal-boundary integrity","Can research runs be bound to completed hash/index-verified tapes while refusing future or caller-authored evidence?","Integrity checks do not reliably prevent incomplete source or future-information use.","Integrity checks reject incomplete or unbound sources and enforce feature availability at the anchor.","No economic direction; fail closed is expected.","F-source-completion-state|F-feature-availability-time","T-research-adversarial-acceptance|T-research-contracts-and-planner|T-research-v3-seeded-full-pipeline|T-research-v3-source-bound-e2e|T-architecture-boundary","implemented","unable to determine","Catalogue handles; tape manifests; seek indexes; feature observations","none","research/src/shaurya/research/source.py|research/src/shaurya/research/contracts.py|research/tests/test_adversarial_acceptance.py","Empirical false-negative rate of integrity gates is not measured.","Verified from code"
"H-research-integrity-002","HF-research-integrity","Auditable selection and evidence lifecycle","Do frozen nested walk-forward folds, complete-miner nulls, multiplicity correction, stability gates, and append-only state prevent outcome-driven promotion?","The research lifecycle can promote unstable or selectively reported results.","The lifecycle records complete families and blocks promotion until declared evidence gates pass.","No economic direction; stable injected alpha should recover and negative controls should warn.","F-source-keyed-ar1-control|F-feature-correlation-cluster|F-feature-conditional-oos-delta|F-time-regime","T-research-walkforward-and-synthetic|T-research-surfaces-nulls-multiplicity|T-research-ledger-state-lifecycle-executor|T-research-research-cli|T-research-v3-seeded-full-pipeline","implemented","unable to determine","Registered feature rows; targets; policies; fold dates; ledger events","none","research/src/shaurya/research/walkforward.py|research/src/shaurya/research/nulls.py|research/src/shaurya/research/multiplicity.py|research/src/shaurya/research/evidence.py","Synthetic recovery does not establish calibration on real market data.","Verified from code"
"H-data-quality-001","HF-data-quality","Publication cadence and channel alignment","What cadence, receive-age, coalescing, and cross-depth alignment properties are observed in captured feeds?","Observed channel timing differences are indistinguishable from the declared comparison tolerances.","Cadence and cross-channel age/flip measures reveal systematic feed timing or coalescing behavior.","Unknown; the code measures rather than prespecifies a sign.","F-publication-cadence-gap-ms|F-receive-age-ms|F-depth-channel-agreement","T-cadence-analysis|T-alignment-analysis|T-depth-thinning-analysis","implemented","result located but not validated","Standard; Full; depth20; depth200 TapeRows with receive timestamps and epochs","research/docs/live-evidence/DAT-15-2026-08-19.md|research/docs/live-evidence/DAT-17-2026-08-19.md|research/docs/live-evidence/DAT-20-2026-08-19.md","research/src/shaurya/analytics/cadence_analysis.py|research/src/shaurya/analytics/alignment_analysis.py|research/src/shaurya/analytics/depth_thinning_analysis.py","Whether documented retained runs generalize across sessions and provider versions.","Verified from code|Verified from existing documentation"
"H-data-quality-002","HF-data-quality","Depth occupancy and normal-activity boundary","Can ordinary deep-book activity and depth-thinning mechanics be separated from unseen states and candidate anomalies?","Activity rate and unseen-state frequency do not vary meaningfully by distance or publication gaps.","Distance; occupancy; containment; and matched skip windows expose measurable normal-activity structure.","Inferred: activity is expected to decline with distance; exact thresholds are code-defined diagnostics.","F-depth-occupancy-contiguity|F-depth-distance-activity|F-depth-channel-agreement|F-deep-book-edge-distance","T-depth-thinning-analysis|T-deepbook-normal-activity|T-deep-book-anomaly","implemented","result located but not validated","Depth20; depth200; Full order-book states","research/docs/DEEPBOOK-NORMAL-ACTIVITY-2026-08-19.md|research/docs/live-evidence/SIG-21-CONSTRUCTION-2026-08-19.md","research/src/shaurya/analytics/depth_thinning_analysis.py|research/src/shaurya/signals/deep_book_normal_activity.py|research/src/shaurya/signals/deep_book_anomaly.py","Normal-activity documents are short retained samples; full-session stability is unresolved.","Verified from code|Inferred"
"H-reference-price-001","HF-reference-price","Alternative causal reference-price ladder","Do displayed mid; last trade; effective-touch proxy; and microprice provide distinct causal state and response references?","Alternative reference prices add no distinct state or measurement relative to displayed mid.","At least one alternative reference changes coverage; state; or held-out comparison while remaining causal.","Microprice tilts toward the thinner side; predictive direction is not prespecified.","F-displayed-mid|F-simple-microprice|F-microprice-tilt-ticks|F-queue-imbalance|F-effective-touch-mid|F-touch-relative-queue-imbalance","T-microprice|T-effective-touch|T-reference-prices|T-d38-acceptance","implemented","result located but not validated","Depth20 states; standard-feed cumulative volume increments; classified prints","research/docs/results/D51-EXPLORATORY-SUMMARY-2026-08-21.json","research/src/shaurya/signals/microprice.py|research/src/shaurya/signals/effective_touch.py|research/src/shaurya/signals/reference_prices.py","The effective touch remains a print-derived proxy; undisplayed liquidity is unavailable.","Verified from code|Verified from existing documentation"
"H-order-flow-001","HF-order-flow","Causal L1 and multi-level OFI construction","Do CKS L1 and CCZ rank-keyed multi-level estimators encode signed displayed order-flow pressure without look-ahead?","Estimator signs or windows disagree with their declared formulas or include future states.","Hand calculations; window sums; causal availability; and training-only CCZ weights agree with declarations.","Positive denotes bid strengthening or ask depletion; negative denotes ask strengthening or bid depletion.","F-cks-l1-ofi|F-cks-l1-depth-normalized-pressure|F-ccz-level-ofi|F-ccz-integrated-ofi","T-cks-l1-ofi|T-ccz-ofi|T-deep-book-ofi|T-ofi-replication","implemented","result located but not validated","Consecutive valid depth states within one connection epoch","research/docs/results/OFI-HORSERACE-SUMMARY-2026-08-19.json","research/src/shaurya/signals/cks_l1_ofi.py|research/src/shaurya/signals/ccz_ofi.py","Rank-keyed CCZ measures displayed-book changes; it is not true order identity or MBO.","Verified from code"
"H-order-flow-002","HF-order-flow","OFI incremental future-mid predictiveness","Does causal OFI improve held-out future displayed-mid return forecasts beyond state; trade; microprice; and lagged-return controls?","Adding OFI does not improve held-out error or R2 relative to declared controls.","At least one preregistered OFI family improves held-out performance with cross-tape and dependence-aware support.","Positive OFI is expected to associate with positive future mid return; empirical support is two-sided and exploratory.","F-ccz-integrated-ofi|F-cks-l1-depth-normalized-pressure|F-future-mid-return|F-mid-return-lag|F-simple-microprice","T-ofi-horserace|T-d38-acceptance|T-fixed-target-panel|T-mid-lag-ofi|T-ofi-replication|T-live-ofi-studies|T-ofi-live-partial","implemented","mixed","Depth200 and depth20 NIFTY futures states; optional classified trade increments","research/docs/results/OFI-HORSERACE-SUMMARY-2026-08-19.json|research/docs/results/D41-MID-LAG-OFI-INCREMENTAL-2026-08-20.json","research/src/shaurya/signals/ofi_horserace.py|research/src/shaurya/signals/mid_lag_ofi.py","Existing leads are exploratory and not sufficient for cross-session promotion.","Verified from code|Verified from existing documentation"
"H-order-flow-003","HF-order-flow","OFI horizon and state dependence","Does OFI forecast strength vary smoothly across sampling windows; response horizons; nonlinear geometry; regimes; and rolling calibration windows?","Performance is flat across declared horizons and state transformations or any variation is noise.","Performance exhibits reproducible horizon or state structure beyond isolated parameter spikes.","No global direction; D40 explicitly searches for rise; peak; and decline.","F-ofi-response-surface|F-nonlinear-ofi-geometry|F-future-mid-return|F-time-regime","T-d40-ofi-horizon-extension|T-nonlinear-ofi-state|T-ofi-response-surface|T-rolling-c8|T-ofi-dashboard","implemented","mixed","Causal OFI observations and matured future-mid outcomes","research/docs/results/D40-OFI-HORIZON-EXTENSION-2026-08-20.json|research/docs/results/D49-C8-RESPONSE-SURFACE-2026-08-21.md|research/docs/results/D50-NONLINEAR-OFI-GATE-KALMAN-2026-08-21.json","research/src/shaurya/analytics/ofi_response_surface.py|research/src/shaurya/analytics/rolling_c8.py|research/src/shaurya/signals/nonlinear_ofi_state.py","All located results are same-day or short-window exploratory evidence.","Verified from code|Verified from existing documentation"
"H-deep-book-001","HF-deep-book","Price-keyed deep-book event construction","Can additions; removals; quantity/order-count changes; and relocation proxies be detected without rank-cascade or boundary-churn artifacts?","The detector cannot distinguish price-keyed events from ladder-window mechanics.","Registered synthetic cases and retained-tape construction produce reconciled event/exclusion counts without outcome fields.","No response direction; event magnitude is nonnegative and side/type retain interpretation.","F-deep-book-atomic-event|F-deep-book-edge-distance|F-depth-distance-activity","T-deep-book-anomaly|T-deep-book-inference|T-sig21-construction-replay|T-deepbook-normal-activity","implemented","supports hypothesis","Depth200 displayed price; quantity; order count; receive time; quality flags","research/docs/live-evidence/SIG-21-CONSTRUCTION-2026-08-19.md","research/src/shaurya/signals/deep_book_anomaly.py|research/src/shaurya/signals/deep_book_construction_grid.py","Support is construction-only; candidate events are not proven anomalies.","Verified from code|Verified from existing documentation"
"H-deep-book-002","HF-deep-book","Deep-book event response association","Do registered far-book event families precede depth20 midpoint responses after causal gaps and matched quiet controls?","Registered event responses do not differ from matched controls after family-wise adjustment.","At least one adequately powered registered cell differs from matched controls and passes robustness gates.","Two-sided; any discovered direction requires later confirmation.","F-deep-book-atomic-event|F-deep-book-response|F-deep-book-edge-distance|F-time-regime","T-deep-book-response|T-sig21-exploratory-response|T-sig21-construction-replay","partially_implemented","no result located","Post-registration full-session depth200 events and depth20 response paths","not_generated:five_calibration_plus_twenty_evaluation_sessions_required","research/docs/sig-claims/H-SIG21.md|research/src/shaurya/signals/deep_book_exploratory_response.py","Required post-registration session count and pre-outcome power gate have not been located as complete.","Verified from existing documentation"
